Index, Date, Time, Latitude, Longitude, Altitude, Speed, Course, Distance, Type, Timeout, MSVs_QCN, Weight Criteria, SleepTime, EHPE, Satelite ID
0001, 2002/00/02, 12:02:00, 0.000000, -182.871658, 1.070000, 3744, 23, 0.000000, -2(000000C2), 15, D, 0, 255, 32768,  X--X--XX -------X -------X --------
0002, 2002/00/02, 12:02:00, 0.000000, -182.871658, 1.070000, 3744, 23, 0.000000, -4(000000A2), 0, D, 0, 255, 32768,  X--X--XX -------X -------X --------
0003, 2009/09/08, 10:07:36, 0.000000, 0.000000, -47.169998, 0, 0, 19695772.959202, -2(000000D2), 0, 0, 0, 255, 0,  -------- -------- -------- --------
0004, 2009/09/08, 10:07:41, 51.496151, -0.701772, 67.269997, 612, 82, 0.000000, 00(00000002), 6, 97, 3C, 255, 672,  -----XX- --X----X -XX-X--X --------
0005, 2009/09/08, 10:07:42, 51.496174, -0.701791, 70.900002, 0, 52, 2.842873, 00(00000000), 1, A7, 45, 0, 512,  -----XX- --X---XX -XX-X--X --------
0006, 2009/09/08, 10:07:43, 51.496174, -0.701791, 70.900002, 0, 45, 0.000000, 00(00000000), 1, A7, 45, 0, 352,  -----XX- --X---XX -XX-X--X --------
0007, 2009/09/08, 10:07:44, 51.496174, -0.701791, 70.900002, 0, 223, 0.000000, 00(00000000), 1, A8, 45, 0, 272,  -----XX- --X---XX -XX-X--X --------
0008, 2009/09/08, 10:07:45, 51.496174, -0.701791, 70.900002, 0, 248, 0.000000, 00(00000000), 1, A6, 45, 0, 256,  -----XX- --X---XX -XX-X--X --------
0009, 2009/09/08, 10:07:46, 51.496174, -0.701791, 70.900002, 0, 143, 0.000000, 00(00000000), 1, A6, 45, 0, 240,  -----XX- --X---XX -XX-X--X --------
0010, 2009/09/08, 10:07:47, 51.496174, -0.701791, 70.900002, 0, 135, 0.000000, 00(00000000), 1, A7, 45, 0, 224,  -----XX- --X---XX -XX-X--X --------
0011, 2009/09/08, 10:07:48, 51.496174, -0.701791, 70.900002, 0, 83, 0.000000, 00(00000000), 1, A9, 45, 0, 208,  -----XX- --X---XX -XX-X--X --------
0012, 2009/09/08, 10:07:49, 51.496174, -0.701791, 70.900002, 0, 142, 0.000000, -1(00000004), 1, A9, 45, 0, 208,  -----XX- --X---XX -XX-X--X --------
0013, 2000/00/00, 00:00:00, 0.000000, 0.000000, 0.000000, 0, 0, 5726493.460858, -4(00000020), 0, 9, 31, 0, 0,  -------- -------- -------- --------

